site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037228,Jaylen Warren,RB,,classic,10.44406156865399,11.3,0.8559384313460114,0.8559384313460114,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_MIA,Dolphins,DST,,classic,8.062013754,4.0,-4.0620137540000005,4.0620137540000005,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039146,Jayden Reed,WR,,classic,4.794253325474152,5.0,0.205746674525848,0.205746674525848,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040719,Bhayshul Tuten,RB,,classic,5.413532862918219,9.8,4.386467137081782,4.386467137081782,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0030565,Geno Smith,QB,,classic,8.898338269904952,9.3,0.4016617300950482,0.4016617300950482,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034857,Josh Allen,QB,,classic,13.921668298717536,38.66,24.738331701282466,24.738331701282466,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035659,Terry McLaurin,WR,,classic,5.590525598412594,3.4,-2.1905255984125938,2.1905255984125938,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037248,James Cook III,RB,,classic,9.140371819211472,9.9,0.7596281807885283,0.7596281807885283,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0041523,Caleb Douglas,WR,,classic,1.3658348592344516,14.4,13.034165140765548,13.034165140765548,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035229,T.J. Hockenson,TE,,classic,4.749144021432281,13.6,8.850855978567719,8.850855978567719,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036139,Rico Dowdle,RB,,classic,9.040256496039726,4.1,-4.940256496039726,4.940256496039726,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_BAL,Ravens,DST,,classic,7.038503955000001,6.0,-1.0385039550000013,1.0385039550000013,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038935,Brenton Strange,TE,,classic,8.34810603986224,10.3,1.9518939601377607,1.9518939601377607,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
