Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Rachaad White (44095947),Rachaad White,44095947,RB/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.4,,Rachaad White,dk,5200,rachaad white,WAS,RB,classic,00-0037256,auto_fallback_team_mismatch,medium
WR,Stefon Diggs (44096041),Stefon Diggs,44096041,WR/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.2,,Stefon Diggs,dk,5200,stefon diggs,WAS,WR,classic,00-0031588,auto_fallback_team_mismatch,medium
QB,Jacoby Brissett (44095908),Jacoby Brissett,44095908,QB,5100,ARI@LAC 09/13/2026 04:25PM ET,ARI,18.0,,Jacoby Brissett,dk,5100,jacoby brissett,ARI,QB,classic,00-0033119,auto_exact,high
WR,Makai Lemon (44096043),Makai Lemon,44096043,WR/FLEX,5100,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.0,,Makai Lemon,dk,5100,makai lemon,PHI,WR,classic,00-0040867,auto_exact,high
QB,Kirk Cousins (44095909),Kirk Cousins,44095909,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,11.3,,Kirk Cousins,dk,5000,kirk cousins,LV,QB,classic,00-0029604,auto_fallback_team_mismatch,medium
QB,Fernando Mendoza (44095910),Fernando Mendoza,44095910,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,0.0,,Fernando Mendoza,dk,5000,fernando mendoza,LV,QB,classic,00-0041562,auto_exact,high
WR,Marvin Harrison Jr. (44096045),Marvin Harrison Jr.,44096045,WR/FLEX,5000,ARI@LAC 09/13/2026 04:25PM ET,ARI,10.7,,Marvin Harrison Jr.,dk,5000,marvin harrison,ARI,WR,classic,00-0039849,auto_exact,high
RB,Tyler Allgeier (44095949),Tyler Allgeier,44095949,RB/FLEX,4900,ARI@LAC 09/13/2026 04:25PM ET,ARI,7.2,,Tyler Allgeier,dk,4900,tyler allgeier,ARI,RB,classic,00-0037263,auto_fallback_team_mismatch,medium
RB,Tank Bigsby (44095951),Tank Bigsby,44095951,RB/FLEX,4900,WAS@PHI 09/13/2026 04:25PM ET,PHI,3.3,,Tank Bigsby,dk,4900,tank bigsby,PHI,RB,classic,00-0038555,auto_exact,high
WR,Jayden Reed (44096047),Jayden Reed,44096047,WR/FLEX,4900,GB@MIN 09/13/2026 04:25PM ET,GB,8.0,,Jayden Reed,dk,4900,jayden reed,GB,WR,classic,00-0039146,auto_exact,high
RB,Keaton Mitchell (44095953),Keaton Mitchell,44095953,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,4.3,Q,Keaton Mitchell,dk,4800,keaton mitchell,LAC,RB,classic,00-0038454,auto_fallback_team_mismatch,medium
RB,Kimani Vidal (44095955),Kimani Vidal,44095955,RB/FLEX,4800,ARI@LAC 09/13/2026 04:25PM ET,LAC,9.6,,Kimani Vidal,dk,4800,kimani vidal,LAC,RB,classic,00-0039391,auto_exact,high
RB,MarShawn Lloyd (44095957),MarShawn Lloyd,44095957,RB/FLEX,4800,GB@MIN 09/13/2026 04:25PM ET,GB,0.0,,MarShawn Lloyd,dk,4800,marshawn lloyd,GB,RB,classic,00-0039811,auto_exact,high
WR,Quentin Johnston (44096049),Quentin Johnston,44096049,WR/FLEX,4700,ARI@LAC 09/13/2026 04:25PM ET,LAC,12.0,,Quentin Johnston,dk,4700,quentin johnston,LAC,WR,classic,00-0038544,auto_exact,high
